,label,tweet,cleaning
0,anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",soal jalan jatibaru polisi gertak gubernur emangny polisi ikut pmbhasan jangan politik atur wilayah hak gubernur soal tn abang soal turun turun pelik perlu sabar username username url
1,anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",sama cewek lho kayak harus lebih rasain lah sibuk jaga diri rasain sakit haid panik pulang malam sendiri bagaimana orang asing wajar banyak korban takut curhat bukan bela bahkan hujat
2,happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",mau gudeg mbarek bu hj amad foto google sengaja biar teman teman bayang bagi indah
3,anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",jalan jatibaru bagi wilayah tn abang atur wilayah tgg jawab wwnang gub tng abng soal rumit sejak gub trdahulu skrg sedng benah agr bermnfaat semua pihak mohon punya otak pikir wajar kecuali otak butek iya kamu url
4,happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",sharing alam saja kemarin jam batalin tiket stasiun pasar senen lancar antri terlalu ramai menit beress semua mungkin coba twips jam jam segitu cc username
5,anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",sekian banyak thread aku baca thread paling aneh sih tulis sumpah aneh banget mau ngatain berlebihan segala bikin thread hadeh aku jago nulis tulis aku beranta thread mbak
6,happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,sharing sama teman tuh emg banget saat kamu ngerasa masalah kamu berat banget nyata teman sendiri punya masalah lebih berat kita bahkan masalah apa nya banding masalah dia
7,sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",orang kalau pakai ponco buat jas hujan nah pakai buat kasur iya tadi gara saking punya apa mamak bilang tuh awal pernik ngalamin bulan madu kayak skrg orang tidur nya pakai ponco gimane mau bulan madu
8,anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",contoh gemar sudut teriak paling toleran gemar tuduh gemar men judge orang dasar versi mereka cukup tahu saja
9,sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,pulang h lebaran dilema sekali laku apa rumah lebaran buka puasa bareng cuman hari sama keluarga sahur
10,anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",betul min rakyat indonesia sekarang harap nya tinggal sama tni saja kalau lihat saja jelas serang kantor media kata unsur pidana jelas hina presiden indonesia sah cuma lucu lucu an saja tni url
11,anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,kalaupun fansite ngejual hasil jepret uang nya lari idol juga belikan hadiah kan kpopers baru iya fansite udh jaman kamera bening skrg
12,happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",sangat syukur doa kakek bung karno sama anak anak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomor untukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h
13,sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,sulit terima nyata memang bagi anggap interaksi satu orng satu golong tentu langsung kata golong tentu saat ajar utuh klaim diri paling benar
14,anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye udeh maling semua si jancok si anjing si siluman monyet hahahahaha satu hati sama sama maling
15,anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",ku ken ngamuk bacain komen netizen mahabenar iya lord habis pikir komen macam gin bikin kasus leceh seksual tenggelam saja hukum laku lebih sedih rerata komen jahat perempuan mbaq sehat loh url
16,love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",sempat pernah hadir tuk buat selalu rasa aman nyaman kini jadi suatu hormat pernah dapat
17,anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,sedap kali kamu iya bobok kasur ku aku tidur kamu ikut tidur mau jadi apa kamu baca pakai logat mamak dahlia keluarga badak
18,happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ","h mau bank ramai banget ampe antri tempat duduk luar toko emas langsung, umum, bebas, dan rahasia ampe lihat mbak nya jual swalayan antri kasir naudzubilah panjang benar bahagia semua kayak moga moga rs sepi pasien sembuh pulang bahagia"
19,anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",benar hancur negara kelola amatir kenpak username indah statementnya sendiri negara miskin koordinasi jangan asal gagah an seta salah anulir mana marwahmu wahai mr username presiden url
20,anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",budaya cari baca tanya iya jelas kali kok lama atur tidak ada uang tentu khusus pakai
21,sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",paruh hati iri lihat orang anak duduk jalan sama ibunda paruh hati turut empat lihat orang anak gundah ibunda sakit sabar iya kawan moga allah beri baik semua
22,happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,aku senyum bukan arti hidup sempurna aku syukur apa aku punya apa tuhan ikan ku
23,sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",mau tdr tidur bgn tdr kok yaa kayak ngerasa aneh enak hati bawa istighfar saja bgn tdr kayak sedih kayak mikir puguh banget coba
24,love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,kan peluk engkau erat hingga orang rebut mu peluk ku bahagia anniversary sayang nov months
25,anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,kalau mau ganti presiden jelas siapa calon terus adu program kerja koalisi ditentuin bisa cuman buat kaos tagar
26,happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",sukses keren banget no kualitas bhn krja itu cita pu waris ampe cu sukses tims bbpjn barokah limpah
27,anger,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.",mau sarjana kali mbokya mulut nya jangan tinggal buat ajar sekira perlu ungkap nambah dosa nyakitin hati orang lebih baik diem bae lah kasi nya julidin sm orang
28,anger,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,bagaimana orang nilai jilbab syar tidak nya kadang gemez sm orang kelas diem bae eh grup wa bisa nyeletuk arah social harassment
29,fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,hari jadwal presentasi proker lppm praktikum jadi bapak ketua teman sekretaris selaku tanggung jawab sekretaris jadi deg deg an ini bismillah bapak ketua ngomong-ngomong pen upload foto bapak ketua jangan dulu yaa
30,anger,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,foto instagram cuma lupa password instanya jadi buka salah perintah instagram pakai password segala tuh lupa kan begoloe
31,fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,drama kmarin sore hari puasa trus pas mandi kaget bcz datang tamu undang pas banget woi pas adzan maghrib trus jadi galau dong hari anggap sah puasa apa tidak
32,sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],sungguh cinta berat sekali pisah dengan apalagi hadiahperasaan username selalu bikin baper sukses lupa laper url
33,anger,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)",pas uda kirim kembali si kurir telepon ngeluh mager buat nganter alamat benar bahkan minta ketemu titik tahu itu gamau susah no puter balik arah sama arah kendara jalan
